from,to,weight,id,periodo_base,categoria,periodo
Desocupado_tant,Inactivo_tpost,30,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2016_t2-t3
Desocupado_tant,Desocupado_tpost,33.3,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2016_t2-t3
Desocupado_tant,Ocupado_tpost,36.3,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2016_t2-t3
Desocupado_tant,Trab_familiar_tpost,0.3,Desocupado_tant - Trab_familiar_tpost,t_anterior,Desocupado,2016_t2-t3
Desocupado_tant,Desocupado_tpost,31.6,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2016_t3-t4
Desocupado_tant,Inactivo_tpost,29.8,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2016_t3-t4
Desocupado_tant,Ocupado_tpost,38.7,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2016_t3-t4
Desocupado_tant,Ocupado_tpost,41,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2017_t1-t2
Desocupado_tant,Inactivo_tpost,31.6,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2017_t1-t2
Desocupado_tant,Desocupado_tpost,27.4,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2017_t1-t2
Desocupado_tant,Ocupado_tpost,39.9,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2017_t2-t3
Desocupado_tant,Inactivo_tpost,31,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2017_t2-t3
Desocupado_tant,Desocupado_tpost,29,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2017_t2-t3
Desocupado_tant,Ocupado_tpost,40,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2017_t3-t4
Desocupado_tant,Inactivo_tpost,33.8,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2017_t3-t4
Desocupado_tant,Desocupado_tpost,26.1,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2017_t3-t4
Desocupado_tant,Trab_familiar_tpost,0.1,Desocupado_tant - Trab_familiar_tpost,t_anterior,Desocupado,2017_t3-t4
Desocupado_tant,Desocupado_tpost,34.7,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2018_t1-t2
Desocupado_tant,Ocupado_tpost,36.2,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2018_t1-t2
Desocupado_tant,Inactivo_tpost,29,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2018_t1-t2
Desocupado_tant,Inactivo_tpost,30.7,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2018_t2-t3
Desocupado_tant,Ocupado_tpost,39.5,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2018_t2-t3
Desocupado_tant,Desocupado_tpost,29.8,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2018_t2-t3
Desocupado_tant,Ocupado_tpost,32.8,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2018_t3-t4
Desocupado_tant,Desocupado_tpost,40,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2018_t3-t4
Desocupado_tant,Inactivo_tpost,27.2,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2018_t3-t4
Desocupado_tant,Ocupado_tpost,40,Desocupado_tant - Ocupado_tpost,t_anterior,Desocupado,2019_t1-t2
Desocupado_tant,Desocupado_tpost,37.9,Desocupado_tant - Desocupado_tpost,t_anterior,Desocupado,2019_t1-t2
Desocupado_tant,Inactivo_tpost,22,Desocupado_tant - Inactivo_tpost,t_anterior,Desocupado,2019_t1-t2
