from,to,weight,id,periodo_base,categoria,periodo
Inactivo_t0,Desocupado_t1,27,Inactivo_tant - Desocupado_tpost,t_posterior,Desocupado,2016_t2-t3
Ocupado_t0,Desocupado_t1,37.1,Ocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2016_t2-t3
Desocupado_t0,Desocupado_t1,35.9,Desocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2016_t2-t3
Trab_familiar_tpost,Desocupado_t1,0.1,Trab_familiar_tpost - Desocupado_tpost,t_posterior,Desocupado,2016_t2-t3
from,to,weight,id,periodo_base,categoria,periodo
Desocupado_t0,Desocupado_t1,33.8,Desocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2016_t3-t4
Inactivo_t0,Desocupado_t1,35.3,Inactivo_tant - Desocupado_tpost,t_posterior,Desocupado,2016_t3-t4
Ocupado_t0,Desocupado_t1,30.7,Ocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2016_t3-t4
Trab_familiar_tpost,Desocupado_t1,0.2,Trab_familiar_tpost - Desocupado_tpost,t_posterior,Desocupado,2016_t3-t4
from,to,weight,id,periodo_base,categoria,periodo
Inactivo_t0,Desocupado_t1,34.5,Inactivo_tant - Desocupado_tpost,t_posterior,Desocupado,2017_t1-t2
Ocupado_t0,Desocupado_t1,34.6,Ocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2017_t1-t2
Desocupado_t0,Desocupado_t1,30.9,Desocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2017_t1-t2
from,to,weight,id,periodo_base,categoria,periodo
Desocupado_t0,Desocupado_t1,32.6,Desocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2017_t2-t3
Ocupado_t0,Desocupado_t1,34.7,Ocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2017_t2-t3
Inactivo_t0,Desocupado_t1,32.7,Inactivo_tant - Desocupado_tpost,t_posterior,Desocupado,2017_t2-t3
from,to,weight,id,periodo_base,categoria,periodo
Ocupado_t0,Desocupado_t1,36,Ocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2017_t3-t4
Inactivo_t0,Desocupado_t1,33,Inactivo_tant - Desocupado_tpost,t_posterior,Desocupado,2017_t3-t4
Desocupado_t0,Desocupado_t1,31,Desocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2017_t3-t4
from,to,weight,id,periodo_base,categoria,periodo
Desocupado_t0,Desocupado_t1,32.3,Desocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2018_t1-t2
Ocupado_t0,Desocupado_t1,37.3,Ocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2018_t1-t2
Inactivo_t0,Desocupado_t1,30.4,Inactivo_tant - Desocupado_tpost,t_posterior,Desocupado,2018_t1-t2
from,to,weight,id,periodo_base,categoria,periodo
Inactivo_t0,Desocupado_t1,31.7,Inactivo_tant - Desocupado_tpost,t_posterior,Desocupado,2018_t2-t3
Ocupado_t0,Desocupado_t1,38.1,Ocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2018_t2-t3
Desocupado_t0,Desocupado_t1,30.1,Desocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2018_t2-t3
from,to,weight,id,periodo_base,categoria,periodo
Ocupado_t0,Desocupado_t1,33.7,Ocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2018_t3-t4
Desocupado_t0,Desocupado_t1,39.7,Desocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2018_t3-t4
Inactivo_t0,Desocupado_t1,26.6,Inactivo_tant - Desocupado_tpost,t_posterior,Desocupado,2018_t3-t4
Trab_familiar_tpost,Desocupado_t1,0,Trab_familiar_tpost - Desocupado_tpost,t_posterior,Desocupado,2018_t3-t4
from,to,weight,id,periodo_base,categoria,periodo
Desocupado_t0,Desocupado_t1,36.4,Desocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2019_t1-t2
Ocupado_t0,Desocupado_t1,32.8,Ocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2019_t1-t2
Inactivo_t0,Desocupado_t1,30.8,Inactivo_tant - Desocupado_tpost,t_posterior,Desocupado,2019_t1-t2
Trab_familiar_tpost,Desocupado_t1,0,Trab_familiar_tpost - Desocupado_tpost,t_posterior,Desocupado,2019_t1-t2
from,to,weight,id,periodo_base,categoria,periodo
Ocupado_t0,Desocupado_t1,35.3,Ocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2019_t2-t3
Desocupado_t0,Desocupado_t1,38.9,Desocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2019_t2-t3
Inactivo_t0,Desocupado_t1,25.7,Inactivo_tant - Desocupado_tpost,t_posterior,Desocupado,2019_t2-t3
Trab_familiar_tpost,Desocupado_t1,0,Trab_familiar_tpost - Desocupado_tpost,t_posterior,Desocupado,2019_t2-t3
from,to,weight,id,periodo_base,categoria,periodo
Ocupado_t0,Desocupado_t1,34.6,Ocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2019_t3-t4
Desocupado_t0,Desocupado_t1,38,Desocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2019_t3-t4
Inactivo_t0,Desocupado_t1,27.4,Inactivo_tant - Desocupado_tpost,t_posterior,Desocupado,2019_t3-t4
from,to,weight,id,periodo_base,categoria,periodo
Ocupado_t0,Desocupado_t1,51.8,Ocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2020_t1-t2
Desocupado_t0,Desocupado_t1,29.4,Desocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2020_t1-t2
Inactivo_t0,Desocupado_t1,18.9,Inactivo_tant - Desocupado_tpost,t_posterior,Desocupado,2020_t1-t2
from,to,weight,id,periodo_base,categoria,periodo
Inactivo_t0,Desocupado_t1,41.5,Inactivo_tant - Desocupado_tpost,t_posterior,Desocupado,2020_t2-t3
Desocupado_t0,Desocupado_t1,41.1,Desocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2020_t2-t3
Ocupado_t0,Desocupado_t1,17.3,Ocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2020_t2-t3
from,to,weight,id,periodo_base,categoria,periodo
Desocupado_t0,Desocupado_t1,49.1,Desocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2020_t3-t4
Ocupado_t0,Desocupado_t1,18.3,Ocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2020_t3-t4
Inactivo_t0,Desocupado_t1,32.6,Inactivo_tant - Desocupado_tpost,t_posterior,Desocupado,2020_t3-t4
from,to,weight,id,periodo_base,categoria,periodo
Inactivo_t0,Desocupado_t1,26.6,Inactivo_tant - Desocupado_tpost,t_posterior,Desocupado,2021_t1-t2
Desocupado_t0,Desocupado_t1,40.1,Desocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2021_t1-t2
Ocupado_t0,Desocupado_t1,33.3,Ocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2021_t1-t2
from,to,weight,id,periodo_base,categoria,periodo
Inactivo_t0,Desocupado_t1,38.6,Inactivo_tant - Desocupado_tpost,t_posterior,Desocupado,2021_t2-t3
Ocupado_t0,Desocupado_t1,23,Ocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2021_t2-t3
Desocupado_t0,Desocupado_t1,37.8,Desocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2021_t2-t3
Trab_familiar_tpost,Desocupado_t1,0.6,Trab_familiar_tpost - Desocupado_tpost,t_posterior,Desocupado,2021_t2-t3
from,to,weight,id,periodo_base,categoria,periodo
Ocupado_t0,Desocupado_t1,31.7,Ocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2021_t3-t4
Desocupado_t0,Desocupado_t1,38.1,Desocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2021_t3-t4
Inactivo_t0,Desocupado_t1,30.1,Inactivo_tant - Desocupado_tpost,t_posterior,Desocupado,2021_t3-t4
from,to,weight,id,periodo_base,categoria,periodo
Desocupado_t0,Desocupado_t1,33.7,Desocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2022_t1-t2
Ocupado_t0,Desocupado_t1,37.3,Ocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2022_t1-t2
Inactivo_t0,Desocupado_t1,28.9,Inactivo_tant - Desocupado_tpost,t_posterior,Desocupado,2022_t1-t2
Trab_familiar_tpost,Desocupado_t1,0.1,Trab_familiar_tpost - Desocupado_tpost,t_posterior,Desocupado,2022_t1-t2
from,to,weight,id,periodo_base,categoria,periodo
Ocupado_t0,Desocupado_t1,42.2,Ocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2022_t2-t3
Inactivo_t0,Desocupado_t1,28.3,Inactivo_tant - Desocupado_tpost,t_posterior,Desocupado,2022_t2-t3
Desocupado_t0,Desocupado_t1,29.5,Desocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2022_t2-t3
from,to,weight,id,periodo_base,categoria,periodo
Inactivo_t0,Desocupado_t1,29,Inactivo_tant - Desocupado_tpost,t_posterior,Desocupado,2022_t3-t4
Ocupado_t0,Desocupado_t1,38.9,Ocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2022_t3-t4
Desocupado_t0,Desocupado_t1,32.1,Desocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2022_t3-t4
from,to,weight,id,periodo_base,categoria,periodo
Ocupado_t0,Desocupado_t1,38.2,Ocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2023_t1-t2
Desocupado_t0,Desocupado_t1,34.2,Desocupado_tant - Desocupado_tpost,t_posterior,Desocupado,2023_t1-t2
Inactivo_t0,Desocupado_t1,27.5,Inactivo_tant - Desocupado_tpost,t_posterior,Desocupado,2023_t1-t2
