from,to,weight,id,periodo_base,categoria,periodo
Inactivo_t0,Inactivo_t1,87.2,Inactivo_tant - Inactivo_tpost,t_posterior,Inactivo,2016_t2-t3
Desocupado_t0,Inactivo_t1,3.2,Desocupado_tant - Inactivo_tpost,t_posterior,Inactivo,2016_t2-t3
Ocupado_t0,Inactivo_t1,8,Ocupado_tant - Inactivo_tpost,t_posterior,Inactivo,2016_t2-t3
Trab_familiar_tpost,Inactivo_t1,1.6,Trab_familiar_tpost - Inactivo_tpost,t_posterior,Inactivo,2016_t2-t3
from,to,weight,id,periodo_base,categoria,periodo
Inactivo_t0,Inactivo_t1,88.1,Inactivo_tant - Inactivo_tpost,t_posterior,Inactivo,2016_t3-t4
Desocupado_t0,Inactivo_t1,2.6,Desocupado_tant - Inactivo_tpost,t_posterior,Inactivo,2016_t3-t4
Ocupado_t0,Inactivo_t1,8.2,Ocupado_tant - Inactivo_tpost,t_posterior,Inactivo,2016_t3-t4
Trab_familiar_tpost,Inactivo_t1,1.2,Trab_familiar_tpost - Inactivo_tpost,t_posterior,Inactivo,2016_t3-t4
from,to,weight,id,periodo_base,categoria,periodo
Inactivo_t0,Inactivo_t1,87.8,Inactivo_tant - Inactivo_tpost,t_posterior,Inactivo,2017_t1-t2
Ocupado_t0,Inactivo_t1,7.7,Ocupado_tant - Inactivo_tpost,t_posterior,Inactivo,2017_t1-t2
Desocupado_t0,Inactivo_t1,3.2,Desocupado_tant - Inactivo_tpost,t_posterior,Inactivo,2017_t1-t2
Trab_familiar_tpost,Inactivo_t1,1.4,Trab_familiar_tpost - Inactivo_tpost,t_posterior,Inactivo,2017_t1-t2
from,to,weight,id,periodo_base,categoria,periodo
Inactivo_t0,Inactivo_t1,88.4,Inactivo_tant - Inactivo_tpost,t_posterior,Inactivo,2017_t2-t3
Trab_familiar_tpost,Inactivo_t1,1.4,Trab_familiar_tpost - Inactivo_tpost,t_posterior,Inactivo,2017_t2-t3
Desocupado_t0,Inactivo_t1,3.1,Desocupado_tant - Inactivo_tpost,t_posterior,Inactivo,2017_t2-t3
Ocupado_t0,Inactivo_t1,7.1,Ocupado_tant - Inactivo_tpost,t_posterior,Inactivo,2017_t2-t3
from,to,weight,id,periodo_base,categoria,periodo
Inactivo_t0,Inactivo_t1,87.6,Inactivo_tant - Inactivo_tpost,t_posterior,Inactivo,2017_t3-t4
Ocupado_t0,Inactivo_t1,8,Ocupado_tant - Inactivo_tpost,t_posterior,Inactivo,2017_t3-t4
